family,cutoff_cycle,run_count,early_stop_fraction,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,training_time_seconds_mean,training_time_seconds_std,peak_gpu_memory_mib_mean,peak_gpu_memory_mib_std,best_epoch_mean,best_epoch_std
current_hybrid,20,5,0.0,0.01610404588282104,0.0002852909577867406,0.02577792108058926,0.00037881302644795595,13.206578109785914,0.5686209866160554,106.0,0.0,500.0,0.0
current_hybrid,50,5,0.0,0.016179767623543697,0.00028282217585291866,0.026219690963625857,0.0003571386966255986,11.879916156828404,0.29913546469305163,106.0,0.0,500.0,0.0
current_hybrid,100,5,0.0,0.016613509133458097,0.0002669039424955924,0.027101206779479924,0.0003377751528255044,12.18278604503721,0.7549743138356484,106.0,0.0,500.0,0.0
current_hybrid,150,5,0.0,0.017026131600141478,0.0002588819533472345,0.02789344601333138,0.00032480902392626214,12.120377138443292,0.6356220314393441,106.0,0.0,500.0,0.0
cyclepatch_batlinet,20,5,1.0,122.5810775756836,6.224021813078035,157.94607543945312,11.944203774480119,162.06601701993495,24.51100328117415,788.0,0.0,99.0,41.593268686170845
cyclepatch_batlinet,50,5,1.0,114.25318756103516,6.686535172956984,141.3554931640625,9.628756301443302,292.5375861944631,116.42100098623176,1982.0,0.0,183.0,56.302753041036986
cyclepatch_batlinet,100,5,1.0,102.99562225341796,3.1871464121429174,129.55508270263672,3.396340002637213,283.9962045168504,91.16425939019877,4346.0,0.0,174.0,61.379964157695625
cyclepatch_batlinet,150,5,1.0,101.913818359375,13.005915261145683,128.92333984375,17.301345322081367,185.74787010625005,125.29553416741331,6090.0,0.0,92.0,49.320381182630776
cyclepatch_direct,20,5,1.0,116.05283813476562,7.546950149146555,143.35902099609376,13.714583779388276,157.21383625194431,67.50341442806689,6090.0,0.0,138.0,37.013511046643494
cyclepatch_direct,50,5,0.8,111.44021911621094,8.263095896052207,137.5443145751953,15.324172562076363,175.89531727228314,72.14841547368407,6090.0,0.0,170.0,78.74007874011811
cyclepatch_direct,100,5,1.0,104.52194519042969,7.637706896511413,130.37357635498046,8.411740567690035,198.20483434628696,44.75933148218739,6090.0,0.0,179.0,25.592967784139454
cyclepatch_direct,150,5,1.0,98.19043579101563,9.084058413136747,122.48767395019532,14.900095353415425,194.86222935952247,32.21783732104032,6090.0,0.0,153.0,40.09364039345891
hybridpatch_v2,20,5,1.0,0.01281408276408906,0.0013095916241411462,0.02699711248278614,0.0007613715337528515,457.8322076970711,181.1781462361678,6150.0,0.0,52.0,8.366600265340756
hybridpatch_v2,50,5,1.0,0.01287034861743444,0.0012954032302106354,0.027525044977664902,0.0008239609623771586,579.7509693393483,316.0055341191786,6172.0,0.0,51.0,8.215838362577491
hybridpatch_v2,100,5,1.0,0.01338115222752092,0.0012517565187678285,0.02825655229389664,0.0008552035365351041,512.225614101626,244.33403442276145,9226.0,0.0,52.0,8.366600265340756
hybridpatch_v2,150,5,1.0,0.01379877589642996,0.0012049016201354447,0.02888754270970818,0.0008435812693795664,551.171612020582,270.40409729676475,12270.0,0.0,52.0,8.366600265340756
