scenario_id,scenario_version,route_id,support_status,near_boundary_fields,eol_status,eol_natural_year,eol_scheduled_efc,soh_year_15,soh_year_20,soh_year_25,warnings
baseline,baseline-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.dod""]",REACHED,13.666135870955129,4099.8407612865385,0.7870086806983525,0.7424794898464737,0.703228072809744,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
temperature_20c,temperature-20c-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.dod""]",REACHED,12.28877130294659,3686.6313908839766,0.7711307017432131,0.7237599152510377,0.6822816846017965,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
temperature_35c,temperature-35c-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.dod""]",REACHED,15.613238768091438,4683.971630427432,0.805246661474179,0.7648278047480579,0.7289045923099708,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
temperature_45c,temperature-45c-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.temperature_c"",""segments.0.dod""]",REACHED,15.30426747161839,4591.280241485517,0.8025342643873316,0.7633578801214866,0.7284990585217884,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
dod_90,dod-90-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.soc_lower_bound""]",REACHED,13.850765128816734,4155.2295386450205,0.7888627542279317,0.744407313918281,0.7051984362301114,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
dod_100,dod-100-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.dod"",""segments.0.soc_lower_bound"",""segments.0.soc_upper_bound""]",REACHED,13.76842351210275,4130.527053630825,0.7879851596179654,0.7432916202123305,0.7038775027136328,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
rate_low,rate-low-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.dod""]",REACHED,19.21045733872309,5763.137201616926,0.831464468112703,0.7944178299886956,0.7610203324359024,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
rate_high_supported,rate-high-supported-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.dod"",""segments.0.charge_c_rate"",""segments.0.discharge_c_rate""]",REACHED,9.691508272454527,2907.452481736358,0.7338559841630209,0.6822152557285919,0.6378790241413633,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
high_frequency,high-frequency-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.dod""]",REACHED,10.26899624127047,4107.598496508195,0.7427838017968411,0.6914494630361847,0.6469299794669332,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
staged_supported,staged-supported-v1,blast-lite-lfp-gr-250ah-prismatic-2019-v1,NEAR_BOUNDARY,"[""segments.0.dod"",""segments.1.soc_lower_bound"",""segments.1.discharge_c_rate"",""segments.2.dod"",""segments.3.dod""]",REACHED,12.782085044330067,3928.983812412424,0.7832515375811799,0.739689328353648,0.7011427641419501,"[""NEAR_EXPERIMENTAL_RANGE_BOUNDARY"",""REFERENCE_MODEL_NOT_CELL_SPECIFIC"",""HIGH_RATE_DEGRADATION_NOT_SUPPORTED"",""LONG_HORIZON_IS_SCENARIO_NOT_EXPERIMENTAL_VALIDATION"",""MONTHLY_STRESSOR_AGGREGATION"",""HIGH_SOC_REST_AND_LOW_SOC_IDLE_ASSUMPTION"",""BLAST_COMBINED_C_RATE_STRESSOR"",""DETERMINISTIC_SCENARIO_NOT_CONFIDENCE_INTERVAL""]"
